1 50 10 38 39
2 50 41 51 52
3 52 10 38 40
4 52 41 51 53
5 53 39 38 40
6 53 52 51 53
7 199 1 4 7
8 199 13 16 19
9 199 4 1 22
10 199 16 19 63
11 199 4 7 33
12 199 16 13 61
13 199 7 33 30
14 199 13 61 58
15 199 7 33 35
16 199 13 61 48
17 199 26 30 33
18 199 54 58 61
19 199 30 33 35
20 199 48 61 58
21 200 38 10 41
22 200 10 41 51
23 205 33 35 40
24 205 53 48 61
25 220 2 1 3
26 220 5 4 6
27 220 8 7 9
28 220 11 10 12
29 220 14 13 15
30 220 17 16 18
31 220 20 19 21
32 220 23 22 24
33 220 23 22 25
34 220 24 22 25
35 220 27 26 28
36 220 27 26 29
37 220 28 26 29
38 220 55 54 56
39 220 55 54 57
40 220 56 54 57
41 220 64 63 65
42 220 64 63 66
43 220 65 63 66
44 220 31 30 32
45 220 59 58 60
46 220 36 35 37
47 220 49 48 50
48 224 11 10 38
49 224 12 10 38
50 224 42 41 51
51 228 36 35 40
52 228 37 35 40
53 228 49 48 53
54 228 50 48 53
55 232 1 22 23
56 232 1 22 24
57 232 1 22 25
58 232 19 63 64
59 232 19 63 65
60 232 19 63 66
61 232 1 4 5
62 232 1 4 6
63 232 2 1 4
64 232 3 1 4
65 232 4 7 8
66 232 4 7 9
67 232 5 4 7
68 232 6 4 7
69 232 13 16 17
70 232 13 16 18
71 232 14 13 16
72 232 15 13 16
73 232 16 19 20
74 232 16 19 21
75 232 17 16 19
76 232 18 16 19
77 232 7 33 34
78 232 13 61 62
79 232 10 41 42
80 232 2 1 22
81 232 3 1 22
82 232 20 19 63
83 232 21 19 63
84 232 26 30 31
85 232 26 30 32
86 232 54 58 59
87 232 54 58 60
88 232 27 26 30
89 232 28 26 30
90 232 29 26 30
91 232 55 54 58
92 232 56 54 58
93 232 57 54 58
94 232 30 33 34
95 232 58 61 62
96 232 31 30 33
97 232 32 30 33
98 232 59 58 61
99 232 60 58 61
100 232 8 7 33
101 232 9 7 33
102 232 14 13 61
103 232 15 13 61
104 232 33 35 36
105 232 33 35 37
106 232 49 48 61
107 232 50 48 61
108 232 34 33 35
109 232 48 61 62
110 232 11 10 41
111 232 12 10 41
112 276 42 41 43
113 277 10 41 43
114 398 35 40 38
115 398 48 53 51
116 814 41 43 44
117 814 41 43 45
118 815 44 43 45
119 816 41 43 46
120 817 44 43 46
121 817 45 43 46
