1 39 43 41 51 52
2 40 39 38 10 41
3 40 10 41 51 52
4 44 11 10 38 39
5 44 12 10 38 39
6 44 42 41 51 52
7 51 40 38 10 41
8 51 10 41 51 53
9 52 11 10 38 40
10 52 12 10 38 40
11 52 42 41 51 53
12 68 35 40 38 39
13 68 48 53 51 52
14 70 10 38 40 35
15 70 41 51 53 48
16 174 38 10 41 43
17 181 38 10 41 51
18 187 38 10 41 42
19 187 11 10 41 51
20 187 12 10 41 51
21 196 1 4 7 33
22 196 19 16 13 61
23 196 4 7 33 30
24 196 16 13 61 58
25 196 4 7 33 35
26 196 16 13 61 48
27 196 7 33 30 26
28 196 13 61 58 54
29 196 26 30 33 35
30 196 48 61 58 54
31 203 1 4 7 8
32 203 1 4 7 9
33 203 2 1 4 7
34 203 3 1 4 7
35 203 13 16 19 20
36 203 13 16 19 21
37 203 14 13 16 19
38 203 15 13 16 19
39 203 4 1 22 23
40 203 4 1 22 24
41 203 4 1 22 25
42 203 16 19 63 64
43 203 16 19 63 65
44 203 16 19 63 66
45 203 4 7 33 34
46 203 16 13 61 62
47 203 7 33 30 31
48 203 7 33 30 32
49 203 13 61 58 59
50 203 13 61 58 60
51 203 7 33 35 36
52 203 7 33 35 37
53 203 13 61 48 49
54 203 13 61 48 50
55 203 5 4 1 22
56 203 6 4 1 22
57 203 17 16 19 63
58 203 18 16 19 63
59 203 26 30 33 34
60 203 54 58 61 62
61 203 8 7 33 30
62 203 9 7 33 30
63 203 14 13 61 58
64 203 15 13 61 58
65 203 30 33 35 36
66 203 30 33 35 37
67 203 49 48 61 58
68 203 50 48 61 58
69 203 27 26 30 33
70 203 28 26 30 33
71 203 29 26 30 33
72 203 55 54 58 61
73 203 56 54 58 61
74 203 57 54 58 61
75 203 5 4 7 33
76 203 6 4 7 33
77 203 17 16 13 61
78 203 18 16 13 61
79 203 31 30 33 35
80 203 32 30 33 35
81 203 48 61 58 59
82 203 48 61 58 60
83 203 8 7 33 35
84 203 9 7 33 35
85 203 14 13 61 48
86 203 15 13 61 48
87 215 34 33 35 40
88 215 53 48 61 62
89 225 2 1 22 23
90 225 2 1 22 24
91 225 2 1 22 25
92 225 3 1 22 23
93 225 3 1 22 24
94 225 3 1 22 25
95 225 20 19 63 64
96 225 20 19 63 65
97 225 20 19 63 66
98 225 21 19 63 64
99 225 21 19 63 65
100 225 21 19 63 66
101 225 2 1 4 5
102 225 2 1 4 6
103 225 3 1 4 5
104 225 3 1 4 6
105 225 5 4 7 8
106 225 5 4 7 9
107 225 6 4 7 8
108 225 6 4 7 9
109 225 14 13 16 17
110 225 14 13 16 18
111 225 15 13 16 17
112 225 15 13 16 18
113 225 17 16 19 20
114 225 17 16 19 21
115 225 18 16 19 20
116 225 18 16 19 21
117 225 8 7 33 34
118 225 9 7 33 34
119 225 14 13 61 62
120 225 15 13 61 62
121 225 11 10 41 42
122 225 12 10 41 42
123 225 27 26 30 31
124 225 27 26 30 32
125 225 28 26 30 31
126 225 28 26 30 32
127 225 29 26 30 31
128 225 29 26 30 32
129 225 55 54 58 59
130 225 55 54 58 60
131 225 56 54 58 59
132 225 56 54 58 60
133 225 57 54 58 59
134 225 57 54 58 60
135 225 31 30 33 34
136 225 32 30 33 34
137 225 59 58 61 62
138 225 60 58 61 62
139 225 34 33 35 36
140 225 34 33 35 37
141 225 49 48 61 62
142 225 50 48 61 62
143 235 11 10 41 43
144 235 12 10 41 43
145 265 33 35 40 38
146 265 51 53 48 61
147 269 36 35 40 38
148 269 37 35 40 38
149 269 49 48 53 51
150 269 50 48 53 51
151 355 44 43 41 51
152 355 45 43 41 51
153 356 10 41 43 46
154 356 42 41 43 46
155 356 46 43 41 51
156 358 10 41 43 44
157 358 10 41 43 45
158 361 42 41 43 44
159 361 42 41 43 45
160 799 7 33 35 40
161 799 13 61 48 53
162 799 30 33 35 40
163 799 53 48 61 58
164 801 7 4 1 22
165 801 13 16 19 63
