244	244	0	0
245	245	0.05	3.55
246	246	0.17	3.25
247	247	0	0
248	248	0.066	3.5
249	249	0.066	3.5
250	250	0.066	3.5
251	251	0.066	3.5
252	252	0.17	3.25
253	253	0	0
254	254	0.17	3.25
255	255	0.08	3.5
256	256	0.17	3.25
257	257	0	0
258	258	0.08	3.5
259	259	0.05	2.5
260	260	0.08	3.5
261	261	0.05	2.5
262	262	0.17	3.25
263	263	0.105	3.75
264	264	0.17	3.25
265	265	0.105	3.75
266	266	0.08	3.5
267	267	0.08	3.5
268	268	0	0
269	269	0.21	2.96
270	270	0	0
271	271	0.21	2.96
272	272	0.05	2.5
273	273	0.05	2.5
274	274	0.08	3.5
275	275	0.05	2.5
276	276	0.17	3.25
277	277	0.105	3.75
278	278	0.17	3.25
279	279	0.08	3.5
280	280	0.08	3.5
281	281	0.08	3.5
282	282	0	0
283	283	0.21	2.96
284	284	0.17	3.25
285	285	0	0
286	286	0	0
287	287	0.05	2.5
288	288	0.05	2.5
289	289	0.17	3.25
290	290	0.08	3.5
291	291	0.17	3.25
292	292	0.08	3.5
293	293	0.08	3.5
294	294	0.08	3.5
295	295	0.17	3.25
296	296	0.08	3.5
297	297	0.17	3.25
298	298	0.05	2.5
299	299	0.17	3.25
300	300	0	0
301	301	0	0
302	302	0.05	2.5
303	303	0	0
304	304	0.17	3.25
305	305	0.08	3.5
306	306	0.17	3.25
307	307	0.08	3.5
308	308	0.08	3.5
309	309	0.105	3.75
310	310	0	0
311	311	0.17	3.25
312	312	0	0
313	313	0.21	2.96
314	314	0.08	3.5
315	315	0.05	2.5
316	316	0.08	3.5
317	317	0.05	2.5
318	318	0.08	3.5
319	319	0.05	2.5
320	320	0.17	3.25
321	321	0.105	3.75
322	322	0.17	3.25
323	323	0.08	3.5
324	324	0.08	3.5
325	325	0.08	3.5
326	326	0	0
327	327	0.21	2.96
328	328	0	0
329	329	0.17	3.25
330	330	0	0
331	331	0	0
332	332	0.05	2.5
333	333	0.05	2.5
334	334	0.08	3.5
335	335	0.05	2.5
336	336	0.2	3.74
337	337	0.21	2.96
338	338	0.17	3
339	339	0.066	3.55
340	340	0.08	3.5
341	341	0.3	3.4
342	342	0.076	3.55
343	343	0.71	3.05
344	344	0.71	4.02
345	345	0.71	4.28
346	346	0.71	4.81
347	347	0.0005	5.34
348	348	0.0005	2.87
349	349	0.0005	4.07
350	350	0.0005	5.17
351	351	0.0005	5.6
352	352	0.0005	6.2
353	353	0.875044	1.644471
354	354	0.449657	2.412031
355	355	0.118226	3.102688
356	356	0.047096	3.81661
357	357	0.3	4.2
358	358	0.05	2.5
359	359	0.5	4.25
360	360	0.3	4.2
361	361	0.05	2.5
362	362	0.25	3.15
363	363	0.3	4.2
364	364	0.05	2.5
365	365	0.15	3.65
366	366	0.25	3.4
367	367	0.3	4.2
368	368	0.05	2.5
369	369	0.25	3.4
370	370	0.05	2.5
371	371	0.3	4.2
372	372	0.05	2.5
373	373	0.3	4.2
374	374	0.05	2.5
375	375	0	0
376	376	0.25	3.2
377	377	0	0
378	378	0.4	2.81524
379	379	0.2	3.11815
380	380	0.14	2.9
381	381	0.2	3.74
382	382	0.2	3.15
383	383	0.14	2.9
