1	1	43	41	51	52	
2	2	39	38	10	41	
3	2	10	41	51	52	
4	3	11	10	38	39	
5	3	12	10	38	39	
6	3	42	41	51	52	
7	4	40	38	10	41	
8	4	10	41	51	53	
9	5	11	10	38	40	
10	5	12	10	38	40	
11	5	42	41	51	53	
12	6	35	40	38	39	
13	6	48	53	51	52	
14	7	10	38	40	35	
15	7	41	51	53	48	
16	8	38	10	41	43	
17	9	38	10	41	51	
18	10	38	10	41	42	
19	10	11	10	41	51	
20	10	12	10	41	51	
21	11	1	4	7	33	
22	11	19	16	13	61	
23	11	4	7	33	30	
24	11	16	13	61	58	
25	11	4	7	33	35	
26	11	16	13	61	48	
27	11	7	33	30	26	
28	11	13	61	58	54	
29	11	26	30	33	35	
30	11	48	61	58	54	
31	12	1	4	7	8	
32	12	1	4	7	9	
33	12	2	1	4	7	
34	12	3	1	4	7	
35	12	13	16	19	20	
36	12	13	16	19	21	
37	12	14	13	16	19	
38	12	15	13	16	19	
39	12	4	1	22	23	
40	12	4	1	22	24	
41	12	4	1	22	25	
42	12	16	19	63	64	
43	12	16	19	63	65	
44	12	16	19	63	66	
45	12	4	7	33	34	
46	12	16	13	61	62	
47	12	7	33	30	31	
48	12	7	33	30	32	
49	12	13	61	58	59	
50	12	13	61	58	60	
51	12	7	33	35	36	
52	12	7	33	35	37	
53	12	13	61	48	49	
54	12	13	61	48	50	
55	12	5	4	1	22	
56	12	6	4	1	22	
57	12	17	16	19	63	
58	12	18	16	19	63	
59	12	26	30	33	34	
60	12	54	58	61	62	
61	12	8	7	33	30	
62	12	9	7	33	30	
63	12	14	13	61	58	
64	12	15	13	61	58	
65	12	30	33	35	36	
66	12	30	33	35	37	
67	12	49	48	61	58	
68	12	50	48	61	58	
69	12	27	26	30	33	
70	12	28	26	30	33	
71	12	29	26	30	33	
72	12	55	54	58	61	
73	12	56	54	58	61	
74	12	57	54	58	61	
75	12	5	4	7	33	
76	12	6	4	7	33	
77	12	17	16	13	61	
78	12	18	16	13	61	
79	12	31	30	33	35	
80	12	32	30	33	35	
81	12	48	61	58	59	
82	12	48	61	58	60	
83	12	8	7	33	35	
84	12	9	7	33	35	
85	12	14	13	61	48	
86	12	15	13	61	48	
87	13	34	33	35	40	
88	13	53	48	61	62	
89	14	2	1	22	23	
90	14	2	1	22	24	
91	14	2	1	22	25	
92	14	3	1	22	23	
93	14	3	1	22	24	
94	14	3	1	22	25	
95	14	20	19	63	64	
96	14	20	19	63	65	
97	14	20	19	63	66	
98	14	21	19	63	64	
99	14	21	19	63	65	
100	14	21	19	63	66	
101	14	2	1	4	5	
102	14	2	1	4	6	
103	14	3	1	4	5	
104	14	3	1	4	6	
105	14	5	4	7	8	
106	14	5	4	7	9	
107	14	6	4	7	8	
108	14	6	4	7	9	
109	14	14	13	16	17	
110	14	14	13	16	18	
111	14	15	13	16	17	
112	14	15	13	16	18	
113	14	17	16	19	20	
114	14	17	16	19	21	
115	14	18	16	19	20	
116	14	18	16	19	21	
117	14	8	7	33	34	
118	14	9	7	33	34	
119	14	14	13	61	62	
120	14	15	13	61	62	
121	14	11	10	41	42	
122	14	12	10	41	42	
123	14	27	26	30	31	
124	14	27	26	30	32	
125	14	28	26	30	31	
126	14	28	26	30	32	
127	14	29	26	30	31	
128	14	29	26	30	32	
129	14	55	54	58	59	
130	14	55	54	58	60	
131	14	56	54	58	59	
132	14	56	54	58	60	
133	14	57	54	58	59	
134	14	57	54	58	60	
135	14	31	30	33	34	
136	14	32	30	33	34	
137	14	59	58	61	62	
138	14	60	58	61	62	
139	14	34	33	35	36	
140	14	34	33	35	37	
141	14	49	48	61	62	
142	14	50	48	61	62	
143	15	11	10	41	43	
144	15	12	10	41	43	
145	16	33	35	40	38	
146	16	51	53	48	61	
147	17	36	35	40	38	
148	17	37	35	40	38	
149	17	49	48	53	51	
150	17	50	48	53	51	
151	18	44	43	41	51	
152	18	45	43	41	51	
153	19	10	41	43	46	
154	19	42	41	43	46	
155	19	46	43	41	51	
156	20	10	41	43	44	
157	20	10	41	43	45	
158	21	42	41	43	44	
159	21	42	41	43	45	
160	22	7	33	35	40	
161	22	13	61	48	53	
162	22	30	33	35	40	
163	22	53	48	61	58	
164	23	7	4	1	22	
165	23	13	16	19	63	
