1	2	10	38	39	
2	2	41	51	52	
3	3	10	38	40	
4	3	41	51	53	
5	4	39	38	40	
6	4	52	51	53	
7	5	1	4	7	
8	5	13	16	19	
9	5	4	1	22	
10	5	16	19	63	
11	5	4	7	33	
12	5	16	13	61	
13	5	7	33	30	
14	5	13	61	58	
15	5	7	33	35	
16	5	13	61	48	
17	5	26	30	33	
18	5	54	58	61	
19	5	30	33	35	
20	5	48	61	58	
21	6	38	10	41	
22	6	10	41	51	
23	7	33	35	40	
24	7	53	48	61	
25	8	2	1	3	
26	8	5	4	6	
27	8	8	7	9	
28	8	11	10	12	
29	8	14	13	15	
30	8	17	16	18	
31	8	20	19	21	
32	8	23	22	24	
33	8	23	22	25	
34	8	24	22	25	
35	8	27	26	28	
36	8	27	26	29	
37	8	28	26	29	
38	8	55	54	56	
39	8	55	54	57	
40	8	56	54	57	
41	8	64	63	65	
42	8	64	63	66	
43	8	65	63	66	
44	8	31	30	32	
45	8	59	58	60	
46	8	36	35	37	
47	8	49	48	50	
48	9	11	10	38	
49	9	12	10	38	
50	9	42	41	51	
51	10	36	35	40	
52	10	37	35	40	
53	10	49	48	53	
54	10	50	48	53	
55	11	1	22	23	
56	11	1	22	24	
57	11	1	22	25	
58	11	19	63	64	
59	11	19	63	65	
60	11	19	63	66	
61	11	1	4	5	
62	11	1	4	6	
63	11	2	1	4	
64	11	3	1	4	
65	11	4	7	8	
66	11	4	7	9	
67	11	5	4	7	
68	11	6	4	7	
69	11	13	16	17	
70	11	13	16	18	
71	11	14	13	16	
72	11	15	13	16	
73	11	16	19	20	
74	11	16	19	21	
75	11	17	16	19	
76	11	18	16	19	
77	11	7	33	34	
78	11	13	61	62	
79	11	10	41	42	
80	11	2	1	22	
81	11	3	1	22	
82	11	20	19	63	
83	11	21	19	63	
84	11	26	30	31	
85	11	26	30	32	
86	11	54	58	59	
87	11	54	58	60	
88	11	27	26	30	
89	11	28	26	30	
90	11	29	26	30	
91	11	55	54	58	
92	11	56	54	58	
93	11	57	54	58	
94	11	30	33	34	
95	11	58	61	62	
96	11	31	30	33	
97	11	32	30	33	
98	11	59	58	61	
99	11	60	58	61	
100	11	8	7	33	
101	11	9	7	33	
102	11	14	13	61	
103	11	15	13	61	
104	11	33	35	36	
105	11	33	35	37	
106	11	49	48	61	
107	11	50	48	61	
108	11	34	33	35	
109	11	48	61	62	
110	11	11	10	41	
111	11	12	10	41	
112	12	42	41	43	
113	13	10	41	43	
114	14	35	40	38	
115	14	48	53	51	
116	15	41	43	44	
117	15	41	43	45	
118	16	44	43	45	
119	17	41	43	46	
120	18	44	43	46	
121	18	45	43	46	
