1	4	1	2	
2	4	1	3	
3	4	4	5	
4	4	4	6	
5	4	7	8	
6	4	7	9	
7	4	10	11	
8	4	10	12	
9	4	13	14	
10	4	13	15	
11	4	16	17	
12	4	16	18	
13	4	19	20	
14	4	19	21	
15	4	22	23	
16	4	22	24	
17	4	22	25	
18	5	26	30	
19	4	26	27	
20	4	26	28	
21	4	26	29	
22	5	30	33	
23	4	30	31	
24	4	30	32	
25	4	33	34	
26	4	35	36	
27	4	35	37	
28	6	35	40	
29	7	38	39	
30	8	38	40	
31	4	41	42	
32	9	41	43	
33	10	43	44	
34	10	43	45	
35	11	43	46	
36	4	48	49	
37	4	48	50	
38	6	48	53	
39	7	51	52	
40	8	51	53	
41	5	54	58	
42	4	54	55	
43	4	54	56	
44	4	54	57	
45	5	58	61	
46	4	58	59	
47	4	58	60	
48	4	61	62	
49	4	63	64	
50	4	63	65	
51	4	63	66	
52	5	1	22	
53	5	1	4	
54	5	4	7	
55	5	7	33	
56	5	33	35	
57	12	10	38	
58	5	10	41	
59	12	41	51	
60	5	48	61	
61	5	13	61	
62	5	13	16	
63	5	16	19	
64	5	19	63	
