1	1	3	-0.148	-14.2745	9.4872	-0.45434	
2	1	4	0.074	-14.4537	8.3538	-0.1135	
3	1	4	0.074	-14.2056	8.9513	0.57284	
4	1	3	-0.148	-12.954	9.438	0.029246	
5	1	4	0.074	-12.1535	8.8482	-0.49543	
6	1	4	0.074	-12.7826	8.6772	-0.30711	
7	1	3	-0.148	-12.0425	10.7576	-0.5917	
8	1	4	0.074	-11.0283	10.589	-0.25506	
9	1	4	0.074	-11.7259	10.7579	-1.2978	
10	1	3	-0.148	-16.5593	13.7223	-0.45214	
11	1	4	0.074	-16.1233	13.9106	0.20072	
12	1	4	0.074	-16.2358	12.82	0.10529	
13	1	3	-0.148	-20.1609	6.922	0.074267	
14	1	4	0.074	-20.5508	5.9397	0.57241	
15	1	4	0.074	-20.534	6.3236	-0.41196	
16	1	3	-0.148	-21.6723	7.8585	0.34749	
17	1	4	0.074	-21.5241	8.8592	1.017	
18	1	4	0.074	-22.6136	7.7203	-0.29385	
19	1	3	-0.148	-21.5319	9.4142	0.20247	
20	1	4	0.074	-22.2259	9.5916	-0.52523	
21	1	4	0.074	-20.988	9.0889	-0.74448	
22	1	5	-0.222	-14.8576	10.7151	-0.15306	
23	1	6	0.074	-15.2222	11.142	-1.0753	
24	1	6	0.074	-15.9284	10.9364	0.74306	
25	1	6	0.074	-16.0825	10.7394	-0.149	
26	1	5	-0.222	-9.003	11.9607	-0.17401	
27	1	6	0.074	-8.5676	11.3238	0.53636	
28	1	6	0.074	-8.5708	13.0705	-0.17881	
29	1	6	0.074	-7.9146	12.0467	-0.14743	
30	1	7	-0.12	-10.467	12.527	-0.25636	
31	1	8	0.06	-10.3104	13.4265	-0.0043994	
32	1	8	0.06	-10.7359	13.1184	-1.1352	
33	1	9	-0.06	-11.9799	12.2308	-0.0733	
34	1	8	0.06	-12.7889	12.0483	-0.6566	
35	1	10	0.19	-12.7531	13.867	-0.050857	
36	1	4	0.074	-12.1766	14.0327	0.79625	
37	1	4	0.074	-12.671	14.8287	-0.19208	
38	1	11	0.51	-15.3443	14.8359	-0.53605	
39	1	12	-0.43	-15.2696	16.0715	-0.97605	
40	1	13	-0.33	-14.2777	13.8035	-0.15876	
41	1	14	-0.54	-18.3181	12.818	0.23319	
42	1	15	0.18	-18.4307	12.0707	-0.55821	
43	1	16	1.48	-19.6183	14.1727	0.36603	
44	1	17	-0.68	-20.0703	15.715	-0.13381	
45	1	17	-0.68	-20.819	13.6041	0.076868	
46	1	18	-1	-18.5296	14.8219	-0.46269	
47	1	19	1	-16.5191	16.3234	-0.483	
48	1	10	0.19	-17.4799	8.9177	-0.23339	
49	1	4	0.074	-17.3027	9.3762	0.51198	
50	1	4	0.074	-16.4675	8.8503	-0.033592	
51	1	11	0.51	-18.5815	11.1304	0.24058	
52	1	12	-0.43	-19.4181	10.3924	0.1138	
53	1	13	-0.33	-18.2707	9.7552	-0.064283	
54	1	5	-0.222	-16.4669	6.4942	-0.04985	
55	1	6	0.074	-15.9584	7.2409	-0.53189	
56	1	6	0.074	-16.1816	5.4074	0.075036	
57	1	6	0.074	-15.8827	7.1814	0.53456	
58	1	7	-0.12	-17.9226	6.3622	0.10797	
59	1	8	0.06	-17.5132	6.2614	1.0095	
60	1	8	0.06	-18.2915	5.4492	0.08581	
61	1	9	-0.06	-18.5051	7.6193	0.27664	
62	1	8	0.06	-19.1363	8.041	-0.40698	
63	1	5	-0.222	-22.8287	10.3379	0.11676	
64	1	6	0.074	-23.5655	9.5417	0.61468	
65	1	6	0.074	-22.1673	10.5473	0.67472	
66	1	6	0.074	-22.6726	11.1551	-0.2909	
